Year,ETH,KEN,RWA,TZA,UGA
2007,2.88,4.35,,3.66,3.94
2008,3.10,4.52,,3.22,4.00
2009,3.22,4.40,,3.48,3.67
2010,3.07,4.29,3.17,3.37,3.45
2011,2.64,4.32,3.37,3.41,3.54
2012,2.86,4.27,3.52,3.59,3.80
2013,3.16,4.56,3.64,3.48,3.83
2014,3.27,4.80,3.71,3.46,3.66
2015,3.56,4.61,3.83,3.54,3.80
2016,3.92,4.83,4.06,3.87,4.13
2017,3.92,5.04,4.26,4.00,4.25
